Species,d13C,d15N,d34S
Oyster,-19.08,9.02,15.54
Oyster,-18.19,8.82,16.73
Oyster,-18.41,8.4,16.95
Oyster,-20.97,7.32,14.32
Oyster,-20.35,7.98,14.56
Oyster,-19.37,8.09,16.22
Oyster,-20.99,7.4,14.47
Oyster,-18.47,8.33,16.15
Oyster,-18.84,8.62,15.81
Oyster,-18.67,9.05,16.69
Mud crab,-16.96,10.51,14.71
Mud crab,-17.25,9.87,14.75
Mud crab,-19.3,9.4,12.68
Mud crab,-19.17,8.62,12.37
Mud crab,-19.28,8.72,12.23
Mud crab,-19.12,8.7,12.2
Mud crab,-17.06,9.89,15.23
