Species,d13C,d15N,d34S
Oyster,-18.94,8.3,16.91
Oyster,-18.86,8.34,17.31
Oyster,-19.24,7.97,16.83
Oyster,-18.97,8.4,16.28
Oyster,-18.95,7.66,16
Oyster,-19.32,8.57,15.49
Oyster,-19.78,7.92,15.28
Oyster,-18.92,8.54,17.51
Oyster,-18.97,8.42,17.8
Oyster,-18.89,7.82,17.88
Mud crab,-17.2,9.9,15.06
Mud crab,-17.09,10.01,13.8
Mud crab,-16.09,9.95,14.45
Mud crab,-16.45,9.05,15.29
Mud crab,-16.78,9.19,15.45
Mud crab,-16.84,9.81,15.22
Mud crab,-16.37,9.13,14.72
Mud crab,-15.69,6.63,15.78
