Site,Species,d13C,d15N,d34S
SI,White shrimp,-16.06,8.32,5.76
SI,White shrimp,-16.63,8.16,5.74
SI,White shrimp,-15.87,8.45,6.39
SI,White shrimp,-15.64,7.63,7.98
SI,White shrimp,-16.78,8.92,8.71
SI,Pinfish,-18.06,10.85,10.06
SI,Pinfish,-17.8,10.77,11.78
SI,Pinfish,-20.27,10.73,10.71
SI,Pinfish,-16.61,10.61,8.85
SI,Pinfish,-17.78,10.58,7.67
SI,Pinfish,-21.18,10.68,11.61
SI,Pinfish,-17.89,11.01,10.69
SI,Pinfish,-18.89,11.36,11.02
SI,Pinfish,-17.08,10.84,9.75
SI,Pinfish,-18.24,9.75,8.82
