Source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Spartina,-14.628663,0.16775075,6.33072283,0.67785889,7.57309099,8.32186983,10
POM,-22.583637,0.27560613,3.9002148,0.63458988,4.97742442,3.20464026,7
Benthic algae,-18.338312,0.29164085,2.80194116,0.63795882,-13.691285,4.6900375,6
