Source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
Spartina,-14.941517,0.24215736,5.97620756,0.94584078,6.29519138,6.89190717,10
POM,-21.143793,0.40801844,4.016682,0.22213682,-15.298884,0.98827571,5
Benthic algae,-22.7,1.7,5.2,0.5,-7.1,4,4
