"","RESERVE","REEF","TideRng","Temp","Salinity","DO","Reef_Slope","Rugosity","Rugosity_N","Rugosity_sd","Rugosity_se","Cluster_Ht","Cluster_N","Cluster_sd","Cluster_se","OyDens","OyDens_N","OyDens_sd","OyDens_se","Cover","Cover_N","Cover_sd","Cover_se","Shell_Ht","Shell_Ht_SE","ARIS_Ct","ARIS_Lcm","ARIS_Lse","Direct_Ct","Richness","Direct_Lcm","Direct_Lse","Dermo_DNAperg","DERMO_se","MSX_DNAperg","MSX_se","PC1","PC2","PC3"
"1","GTM","Guana Mid",1.3,24.6,30.9,6.36,0.179775280898876,0.341,5,0.17977068726575,0.0803958954176145,12.6733333333333,5,2.47390828896752,1.10636542084631,2022.4,5,966.153610974984,432.07703016939,81.6,5,0,0,26.912,3.44316482324039,245,10.5636734693878,0.32131449169632,45,7,7.13809523809524,0.796335142929122,2.77710748777778,1.28330965233292,0.0291800114285714,0.00746722700550086,-0.0440001861275547,-1.04318960459143,-0.227205589888347
"2","GTM","Guana North",1.3,24.7,26.9,5.11,0.194805194805195,0.3125,5,0.10571187255933,0.0472757866142912,11.75,5,1.80790445503033,0.808519451654506,934.4,5,714.073385584423,319.343326218038,34.4,5,0,0,40.8132121212121,3.84584120318909,866,7.87401847575058,0.14356611315095,247,8,7.28867924528302,0.640047061778841,1.49104096875,0.573521469345662,0.13192256,0.0990868174962318,-1.2729041366558,1.60858504369728,0.911793713913674
"3","GTM","Guana South",1.3,24.6,31.8,7.35,0.141791044776119,0.2325,5,0.0595119035711904,0.0266145323711189,11.9333333333333,5,0.963788819653397,0.431019463339856,1488,5,1433.76427630207,641.198877104444,79.2,5,0,0,21.8917391304348,1.00068996991027,100,23.879,1.12400015726661,87,10,7.03636363636364,0.35700753087908,0.59251020125,0.309026904789575,5.83116352125,5.15514422180473,-0.723590184537791,-1.24895587915258,-1.62456492075883
"4","NC","Deep Creek",1,14.2,31.6,8.49,0.205555555555556,0.247,5,0.0436749356038449,0.0195320249846246,8.63333333333333,5,1.40138820063853,0.626719855898772,1392,5,634.375283251168,283.701251319059,98.4,5,0,0,40.1544444444444,4.03904331051272,58,14.2586206896552,1.51714547626289,18,7,8.95555555555556,0.204717928962859,2.017536852,1.17610339143051,23521.396697856,16632.0078535075,-1.89037011991399,1.23498935402259,-1.29237226204042
"5","NC","Middle Marsh",1,15.7,33.5,7.84,0.0781841109709962,0.371,5,0.108247401816395,0.0484097097698385,11.6666666666667,5,2.59272486435067,1.15950180872841,1097.6,5,581.26482776786,259.949533563728,100,5,0,0,33.6594285714286,2.04193473680913,0,NA,NA,15,4,9.23333333333333,0.183208832184685,5.869468711,2.74779781640366,14.576487415,7.21996917528821,-1.50862439594392,-0.817761379150513,0.318245510583388
"6","NC","Treasure Island",1,13.8,31.3,8.2,0.0493166963755199,0.404,5,0.0566127194188726,0.0253179778023443,11.9333333333333,5,4.75745029751582,2.12759645296439,1084.8,5,531.672079387286,237.770982249727,100,5,0,0,27.6548994708995,0.914026144688916,1,10.4,NA,14,6,5.17857142857143,0.146592867713504,1.28894519,0.48086317422232,6182.69215316857,5172.80025722309,-1.32123036357565,-1.57001868499821,0.278226489148648
"7","NIWB","Bly Creek",1.43,15.8,34.4,6.75,0.266666666666667,0.4,5,0.143396303997,0.0641287766919033,10.4,5,4.35028734683124,1.94550764583437,1382.4,5,1187.00160067289,530.843253701128,91.2,5,0,0,27.5812987012987,2.2674401433132,100,12.66,0.646307304084621,79,7,8.32058823529412,0.433922906012828,3.66442885777778,1.50714103579776,147.47413323,131.875246289892,-0.0846380546619173,0.0504644281221923,-0.43854016309777
"8","NIWB","Clambank Creek",1.43,16,33.2,6.67,0.146788990825688,0.478,5,0.0559687412758229,0.0250299820215676,11.7,5,1.52479506819769,0.681909084849293,1091.2,5,663.990361375826,296.9455168882,88,5,0,0,39.5418947368421,3.86547953184082,233,13.9772532188841,0.475091211304088,48,8,6.34375,0.179374698828422,5.60091083625,0.904946278784208,30.65071378,23.3613386504224,-0.568419020065877,0.357942428852111,1.66454364580424
"9","NIWB","Old Man Creek",1.43,15.8,34.4,6.59,0.289256198347107,0.512,5,0.109350354366138,0.0489029651452752,12.9333333333333,5,3.76127933318203,1.68209525427202,1993.6,5,1151.64438955782,515.031028191506,87.2,5,0,0,36.54,3.49698155557046,195,12.5241025641026,0.371222865698864,66,11,10.5651162790698,0.444375342794128,1.84167098875,0.483629071240527,27.5775696528571,23.059076856155,0.738823925828268,0.0932599355354652,1.85276234724559
"10","SI","Duplin Mid",2.1,22.4,26.9,5.2,0.344615384615385,0.4,5,0.135784756140003,0.0607247890074556,14.5466666666667,5,5.07124792881945,2.26793101991906,4131.2,5,2603.71181200992,1164.41532109467,84.8,5,0,0,29.2,2.1214051946764,842,10.3780285035629,0.152883822646877,172,15,9.5780487804878,0.272943148771143,7.00073779111111,2.38276468623974,35.7160987477778,33.1265424912121,3.14407128498835,-0.848436307247749,0.348250805845431
